path,knowledge,similarQuestion,Answer
Student/SWC,活动报备材料,"请问活动报备需要哪些材料呢？
活动申请的表格哪里拿呢？
活动申请需要完成哪些表格呢？
活动申请需要填表吗？","1.	《万科梅沙书院活动申请表》<br/>2.	《活动方案》<br/>3.	《保险购买凭证》（涉及离校活动，全体参与师生需购买综合意外险）<br/>4.	《外出活动安全责任书》（涉及离校活动需提供）<br/>5.	《免责声明》（涉及离校活动或第三方活动必须提供，当签署免责声明后，《活动参与同意书》可免去）<br/>以上表格模板获取方式<br/>1.	活动申请流程图以及所有申请材料空白模板已经发送至全体同学以及老师的邮箱，请输入关键字“活动申请Q&A”查找邮件进行附件下载。<br/>2.	活动申请流程图以及所有申请材料空白模板已上传钉盘。请点击界面左侧“钉盘”图标，然后选择"
Student/SWC,活动申请时间,我们应该什么时候开始申请活动呢？,"1.	所有活动申请请在活动执行日前一月的15号前启动，并在活动执行日前一月30号前完成所有申请程序。（举例：活动时间为9月3日，活动负责人需在8月15日启动申请，8月30号前上交全部申请资料至SWC Room525）<br/>2.	如遇到不能履行正常申请流程的特殊紧急活动（政府活动，专业竞赛），比如活动准备周期紧张，请下载活动申请表直接获得学生事务院长签字，在活动执行日前补齐所有资料交至SWC Room 525。"
Student/SWC,社团概况,"书院现在总共有多少个社团？
书院有哪些优秀的、有意思的社团？","<div id=""se-knowledge""><p>2019-2020学年，万科梅沙书院更新注册社团有66个，涉及多个不同领域，包括学术研究，体育竞技，学科竞赛，公益环保，视听艺术等方面。在2018-2019学年，有14个年度优秀社团引领着梅沙书院的社团发展。这些优秀社团分别是潮・Tide杂志社、中国传统文化社、万科梅沙书院灵籁合唱团、VMA 航拍社、科技创新社、古典音乐社，以及获得最佳创作奖的VMA檐下履诗社、以及成立两年半就跻身模范社团之列的Future Insight Club （未来视角）等社团。</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Student/SWC,社团注册时间,"社团每年都会招新吗？学生如何加入自己感兴趣的社团？
如果学生想创建一个学校现在没有的社团，可以如何做？",万科梅沙书院每学年第一学期全校统一进行社团招新，其它社团成员招募活动由各社团自行安排，各社团可以按照自己的要求制定流程及面试要求。从2019-2020学年开始，我们将对部分创意优秀的候选学生社团进行补录。具体通知请直接前往VMA525办公室咨询学生健康发展中心老师。
Student/SWC,社团报名,"我应该怎么报名社团？
我什么时候可以报名社团？
我必须报名社团吗？
如果我不报名社团会怎样？",我们鼓励并要求所有的梅沙学子参与社团活动。社团在学生活动中是不可或缺的一部分，社团为学生提供机会去追求自己的兴趣、展现自己的智慧与热情，并为社区做出贡献。<br/>社团的茁壮成长一直是梅沙学子综合素质提升和丰富课余活动的重要表现。今年，书院在鼓励全体学生加入社团的同时，进一步规范社团管理制度，全力支持品牌社团的孵化。
Student/SWC,社团活动地点,"社团活动场地怎么找？
社团活动在那里进行？
社团活动地点指导老师可以帮助解决吗？
社团活动可以在校外吗？",社团需在注册时上交日常活动地点申请，学生健康发展中心根据人数和实际情况统筹安排。在社团活动时间内，社团对于教室拥有使用权，对于教室内的设备和清洁负责。如有违反，学生健康发展中心有权收回社团教室使用权。<br/>为保证师生的安全健康，如社团进行校外活动需由社团指导老师指导履行活动报备流程，完成校外活动的申报和保险购买后方可进行。
Student/SWC,社团活动时间,"社团活动时间是什么？
社团活动可以在课堂时间进行吗？
社团活动可以在晚自习吗？
社团活动必须要在PP1，PP2吗？",社团课一切要求同正常教学时间，所有社团必须在书院规定的社团活动时间为（周一至周四）PP1 15:30-16:40或者PP2 14:50-17:30内按照课程计划进行。主要活动集中在非教学时间段的社团，如公益、慈善、户外活动等性质的社团，需安排好每周工作。社团活动若需占用自习课、晚自习等时间，需提前向学生健康发展中心申请报备。
Student/SWC,社团指导老师,"社团有指导老师吗？
社团必须要指导老师吗？
社团要几个指导老师？
社团没有指导老师可以吗？",每个社团都有一名或多名专业指导老师。为保证社团质量，原则上每一位指导老师最多可以负责两个社团（该规则适用于校内规定时间的社团活动以及其它时间的所有社团安排）。<br/>另外，社团可聘请若干造诣较深或在某些方面有专长、关心学生社团活动的专家、学者或教师，担任指导教师、顾问，但必须报学生健康发展中心同意。
Student/SWC,社团leader,"社团leader需要做什么？
怎么才能成为社团leader？
社团leader可以有几个？
如果我想担任社团领袖，需要承担什么责任？",社团领袖指导着社团的发展。社团领袖应按照社团的目标召集、记录以及计划各项活动。社团领袖也有责任依照学校的规章制度建立他们的社团制度。每个社团必须有一个社团长，最多有两名副社长。
Student/SWC,社团运行规范,"社团需要考勤吗？
社团需要写报告吗？
如果我在的社团活动没有按时开展会怎样？",万科梅沙书院的所有社团归学生健康发展中心管理。为了更好的发展、管理和支持社团，特制订《万科梅沙书院学生社团章程》，以对社团成立、管理、解散、指导老师工作职责、违规处理与考核表彰作出详细的说明和严格的规定。以社团管理中的社团课考勤部分为例，每个学生需登记姓名、学号、舍堂、联系电话等个人信息进行备案，并由社团指导老师负责登记考勤。一学期内社员缺勤超过3次，将取消社团成员资格。每一名学生在该节社团课时间必须固定在一个社团进行活动。<br/>2019-2020学年，书院所有社团必须每个月上交一次月度报告，用于记录和总结社团阶段性的发展成果。同时，帮助各个社团梳理社团的成长规划。
Student/SWC,社团选择,"我可以注册几个社团？
如果我选了一个社团，但是后来不喜欢了怎么办？
我可以转社团吗？",我们希望每一个学生找到自己的热爱，如果真的通过实践和磨合觉得不适合，我们会在获得接收社团指导老师和社团Leader的许可后，协调同学加入新的社团。在此之前，学生需向原社团Leader提出离社，社团Leader向学生健康发展中心负责老师报备社团人员名单更改。为了确保社团发展质量以及学生学业与活动的平衡，学生在正式社团课时间需按照书院要求可选择两个社团进行报名。
Student/SWC,优秀社团评选,"优秀社团会受到表彰吗？
社团表现优异会有奖励吗？
优秀社团的评选标准是什么？",每年，书院会有独立的评审委员会COLA根据社团考评标准对社团进行多维度，全方位的考评，并依据考评结果对优秀社团进行表彰和嘉奖。2018-2019学年，推出了模范社团奖、最佳风尚奖、年度社团三大奖项。<br/>针对优秀社团的表彰，需在规定时间段，由社团提出自荐申请或由社团指导老师提名推荐，获得提名的社团上报材料至学生健康发展中心审核，最后报送院长审批优秀社团获奖名单。
Student/SWC,社团日,"我们的社团日活动是什么时候？
社团日一年有几次？
社团大型活动有哪些？",VMA社团日（VMA Club Day）是万科梅沙书院的一大传统。每年第一学期开学之际，书院将举办一场别开生面的社团展示会，为不同社团提供招新与宣传的平台。<br/>优秀的社团表演将会被邀请在书院月度集会、书院秋日嘉年华、新年音乐会等重要活动中一展风采。不仅如此，学校多个环境保护及社会志愿团体（蓝与绿社团，城市可持续社，回绿社以及青志协）积极参与践行可持续发展目标。“地球一小时”，“保护白海豚”，“背仔角净滩”等主题活动形式新颖，意义深远。
Student/SWC,社团注册条件,"我可以注册社团吗？
新社团如何注册？
社团注册条件是什么？","<div id=""se-knowledge""><p>书院的学生或老师具有发起社团的条件，发起者需完成社团章程制定，于每学期开学后的第一个星期，由社团主要负责人提交申请资料至学生健康发展中心审核。经审核通过后，可进行全校招新。<br>社团完成招新后，在规定时间内向学生会提交名单，经学生健康发展中心确认，社团注册学生社员数达到规定数量（10人或以上），则该社团获得书院正式认证。未达到社员人数要求及其它标准者，作为兴趣小组自行安排活动。</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Student/GAO,locker怎么申请报修？,locker怎么申请更换？,请至525办公室联系周小伟老师
Student/ETO,门禁权限申请,如何申请门禁权限？,1， 联系房间的负责老师<br/>2， 由老师进入钉钉工作台-审批-IT事件单，提交一个权限申请<br/>3， 等待审批完成即可<br/>1. Contact the person in charge of the room<br/>2. The person in charge needs to go to workdesk-approval-IT ticket and submit an access application<br/>3. Wait for approval 
Student/CCO,申请规划,"我需要从什么时候开始给孩子做申请规划？
申请规划怎么做？
怎么做申请规划？",学生的留学申请规划从高一阶段就已经开始，而我们升学咨询办公室的主要工作就是指导学生进行规划，帮助他们进入到理想的大学。具体来说，每个阶段会有不同的侧重点。高一阶段我们会引导学生进行自我探索，了解自己的专业职业兴趣所在。同时，会通过解读海外大学的录取标准，指导学生做好学术和非学术方面的准备；高二是持续探索的阶段，我们会通过系统的指导，帮助学生进行大学申请前的各项准备，包括专业、学校选择，文书准备，课外活动梳理等方面的内容；而高三会指导学生完成大学申请、入学确认及签证的各项事宜。家长要做的就是跟学校保持密切的配合，确保整个过程的顺利进行。
Student/CCO,能申请到美国前十吗,我家孩子想去美国前十名的高校，你们能做到吗？,梅沙的升学咨询团队背景非常多元，团队里的老师也曾指导学生进入到美国前10或英国的牛津剑桥这些世界顶级名校。美国大学的录取是对学生的学术表现、课外活动、标化考试、申请文书、推荐信、面试表现等方面的一个全面评估，前10 的高校也是通过这些方面来考量学生。升学老师的专业性很重要，但是更重要的还是学生自身的学术和非学术表现。
Student/CCO,申请材料清单,申请时需要哪些材料？会有材料清单吗？,都会有的。升学咨询办公室会在申请季开始之前给各位家长和同学发送材料清单，方便各位家长和同学对照列表准备材料。申请各个国家的学校需要准备的材料有一些差别，但是大致包括：中学阶段的成绩单、一到三封推荐信和其他文书；家长方面也要准备财产证明等文件。
Student/CCO,申请评估过程,"提交给学校的个人申请的评估过程是怎样的？
招生官怎么审核材料？
招生官如何评估学生？
招生官评估流程？",想了解这个问题，我们首先要了解招生办公室里由什么人组成。一般来说，一个招生办公室里，会有不同级别的招生官，他们会在申请季开始之前走访各地的高中，给优秀的学生留下印象，以便在申请季的时候争取到更多生源。对于有的学校来说，他们在申请季时会组成一个组委会，做出录取和拒绝的决定。<br/><br/>具体来说，在申请季的时候，我们的组委会一般会有三轮筛选：<br/><br/>1. 各个学校派出的区域招生官会阅读TA所负责的区域的申请材料，做出首次推荐；<br/>2. 被推荐的学生会被另外一个招生官审阅一次，并给出建议，返回给1的招生官，再次考虑并推荐（部分学校没有这一步骤）；<br/>3. 被推荐的各个区域的学生（亚太、北美等）的申请材料会被汇总到大学的招生办公室被集中评审；<br/>4. 大学会根据今年学校列出的招生名额和规则从各个地区录取满足条件的学生<br/><br/>――组委会――区域招生官――组委会――决定。我们已经组织家长做过一次模拟录取，如果家长需要，我们可以再次举办类似的活动，让家长直接体会录取过程。
Student/CCO,申请其他国家,"梅沙书院的学生可以申请其他国家的学校吗？
可以申请非美吗？
可以申请美国以外的国家吗？
可以申请英国吗？
可以申请加拿大吗？
可以申请澳大利亚吗？
可以申请日本吗？
可以申请新加坡吗？",是可以的，我们学校采用AP课程体系，这个课程体系是被主流留学国家所认可的；而且为了满足不同学生的特点和需求，梅沙书院接下来也会开办A-Level课程。
Student/CCO,申请系统,"学生申请通过什么系统？
申请系统有哪些？","不同国家的申请系统有所不同，拿几个主流国家举例：美国大学常用申请系统为CA, CAAS，还有些学校使用独立的申请系统，如加州德州的学校等。英国大学申请统一使用UCAS, 加拿大的学校大多是在各自学校的官网上进行申请，而安大略省的学校有独立的申请系统。"
Student/CCO,外国大学知道梅沙书院吗,"外国大学听说过梅沙书院吗？
国外大学听说过我们学校吗？",当然知道，对于梅沙书院来说，国外的大学大概分为三个类别：<br/>已经跟梅沙书院建立了良好的关系的大学：这些大学每年都会来梅沙书院访问，见见学生，跟孩子们面对面聊聊。因为彼此的熟悉，这些大学的招生官还可能会直接在梅沙书院举行面试，甚至发放口头录取。这对于那些目标明确，且有一些准备的学生来说，是绝佳的机会。芝加哥艺术学院这几年都会在VMA发放口头录取，多名学生都可以得到学校的青睐。这不能不说是申请季的强心针，可以极大提升学生的信心，减轻申请季的焦虑。<br/>有定期走访但还未建立起紧密关系的大学：这些大学录取率往往很低，愿意多接触学生，但在做决定方面有些迟疑。这是可以理解的，因为申请和录取本来就是一个层层往上，甚至略有主观的过程。这些学校的区域招生官，能做的也只是在跟他们想要的学生有了初步了解后，把学生的材料推进到下一轮评审――可是下一轮评审走势到底如何，区域招生官也并不一定知道。对于学生来说，如果想要申请这些学校，如波士顿大学，面对这类学校的招生官的时候，一定要有充分的准备（至少要把简历准备好），且勇于交流，展示自己的表达能力和综合素质。留下印象是重要的第一步，因为对熟悉的人事抱有好感是人之常情。<br/>还没有来过梅沙书院，且近期不太可能来的大学：这些大学基本就是我们口中的”藤校“了，这些学校基本在中国区只会去三个地方：北京、上海和香港，因为不管我们是否愿意承认，这三个城市可能集中了最多中国的顶级学生。但这些学校也都听说过梅沙书院，因为每年都会有学生申请藤校，而申请的时候，我们会一并把学校的简章寄送给大学。升学知道办公室的意见是，如果这些大学在中国的其他城市举办大学招生宣讲会，有条件的学生应该积极参加，去了解大学想要寻找什么样的学生，甚至跟招生官面对面聊聊，获得对学校的一些更加私人化的了解，帮助自己做进一步的判断。<br/><br/>梅沙书院每年会接待200来所大学的访问，这个数字只会随着梅沙书院的发展变得越来越大，来访的学校质量也会越来越高。每一个从梅沙书院走出去的学生，他们的发展和学业表现都会成为大学长期考察梅沙书院的因素，因此，在校的学生要努力提升自己的申请竞争力，已经毕业的学生也要在大学里好好表现，为学校树立良好的而形象，进而为师弟师妹创造更多机会。
Student/CCO,为什么撤销录取,"什么情况下有可能会面临大学撤销录取呢?
为什么大学会撤销录取？
大学怎么会撤销录取？
撤销录取条件？",1.学生成绩严重下滑。何谓严重下滑，如果你是一个A学生或者90+分的学生，你在高三一些学科取得的成绩是B或者80+分，这大约不算是严重下滑的情况；如果一个A学生或者90+分学生，在很多高三学科中出现了C或70+及以下的成绩，这就会比较危险。如果仅仅是单科，问题则不大。其他层次的学生以此类推。<br/><br/>2. 学生成绩在高三学科出现了不及格，这也很危险，尤其是主要学科。<br/><br/>3. 学生在申请时所列出高三在修的课程发生了重大变化，比如，原本选择了更高难度的AP课程(不是考试)，结果转而选择了一些更为轻松的非AP课程，如果这样课程变化较多，也是比较危险的。或者是原本列出了5门课程，结果却中途放弃了一些课程，变成了3门或者更少。因为大学录取你时，最后一年所修课程也是考虑因素之一。<br/><br/>4. 拿到录取信之后，就不再查阅大学后续提醒补交材料的邮件或者通知，而错过了重要的信息或截止日期。<br/><br/>5. 在高中最后一年出现了重大违纪、甚至违法事件(高中升学咨询顾问或咨询师须如实向大学汇报该情况)。<br/><br/>6. 无论因为何种原因，未能成功拿到高中毕业证。<br/><br/>7. 大学在后续过程中发现学生的申请材料涉嫌造假。
Student/CCO,EA、ED、RD区别,EA、ED、RD、Rolling有什么区别,"EA 和ED 是早申请的两种形式，EA 是指Early Action, ED 是指 Early Decision, 它们的共同点是截止日期基本相同，一般为11月初， 差别在于 EA为非绑定录取，可以同时申请几所学校的EA, 而且拿到录取通知可以不去，但是只能申请一所学校的ED， 拿到录取通知必须要去。RD 为Regular Decision 常规申请，非绑定，截止时间一般是1月底或2月初，一般在截至时间之前递出申请即可。Rolling 指滚动式录取，没有明确的截至时间，收到申请后4-6周左右做出录取决定，随申随录，录满即止。"
Student/CCO,什么是好文书,"好文书什么样？
什么能算作好文书？",真实的，情感充沛且饱满的，能感染人的，深刻的，逻辑清晰的，主题明确且突出的，有趣的。
Student/CCO,怎么写文书,"怎么写一篇好文书？
如何写文书？
怎么写文书？","留学文书写作大致分为三步：构思――创作――完善。<br/><br/>1. 构思：你想展示什么? 这往往是最花时间的一部分，也是最容易让人感到挫败的一步。<br/>想要知道如何构思，我们就要从申请文书的目的和作用着手。留学文书其实就是你个人的广告，因此要做到重点突出，形象鲜明。它的唯一目标即是展示你自己，让看到文书的招生官相信你就是他们想要的人才。因此，我们需要围绕着自己去开展头脑风暴，聚焦于几个问题来指引自己：""我是谁""、""我能提供些什么""、“什么对于我来说最重要”、“我都为我的信念做过哪些事”、“我的重大经历之间是否有内在的，我从未洞悉的联系”、“我想成为什么样的人”等等。<br/><br/>2. 创作。<br/>再好的想法如果不能被充分地表达出来那也是枉然。招生官只能从书面材料来对你的学识、人品和语言能力进行判断，而你也只能以书面的形式来表现和证明你自己。你和他们之间沟通的唯一媒介就是写在纸上的文字。所以我们要在创作的时候，把自己真挚地展露在读者面前、踏踏实实地讲好一个故事。申请季的时候，招生官工作繁重，状态疲惫，且没时间也不想读长篇大论，所以，我们要在创作的时候努力让文章不无聊，留下一些记忆点。在这时，适当使用一些写作技巧是比较有效的提升文本素质的方法。<br/><br/>3. 完善。<br/>要相信一篇好的essay一定是改出来的，而非单纯写出来的。AO通常并没有太多时间来看一篇文章，因此提升文字阅读的愉悦感一定可以帮助你的内容更易于被接受。原则上，建议使用简洁有力的文字进行阐述，即尽量减少使用形容词，改用动词。西方文化对动词的热爱简直无与伦比。我们除了关注文字细节上的质量，也要在修改的时候反复打磨文章的内在逻辑，思想高度和段落间的结构和层次。"
Student/CCO,招生官在文书中寻找什么,"招生官怎么看文书？
招生官看文书中的什么？
招生官想在文书中寻找什么？",招生官在主文书里和在补充文书里寻找的东西不尽相同。<br/><br/>1. 是什么令你与众不同？学生在申请过程中面临着众多拥有相似成绩的申请者的竞争。因此，学生的文书（亦或个人陈述）是其从中脱颖而出的机会。这是学生谦逊地“吹嘘”自己经历的机会。招生官希望看到超出传统教育的不同寻常的东西，例如：志愿者工作，一段旅游或者战胜困难的个人经历。学生需要确保挑选一个特别的经历来书写，千万不要拘泥于成绩，因为学习对于一个学生来说已经是生活中的大部分了。<br/><br/>2. 你会写作么？（你是否擅长书写）在大学里，学生会花费大量的时间在写作上。学生的文书表现了学生作为一个作者的洞察力。写作在很多学术领域是一项重要的技能。无论是在写电子邮件或者是写报告的时候都需要运用到写作技能。学生的文章需要用良好的结构和语法来组织，并且不能有语法和拼写错误。此外，学生的文章还必须有意义并且吸引读者。学生的文章需要和学生说话的方式相吻合。如果你说气话来像一个聪明的18岁学生，那你需要使用一个18岁学生才会使用的词汇。学生在文书中并不一定需要尝试使用SAT词汇。<br/><br/>3. 你会为你的集体做出什么贡献？大学越来越重视学生身上所体现出的文化多样性。如果是国际学生，简单地告诉招生官你来自哪里是远远不够的。他们更加关注你怎样将你的文化融入你的集体中去并分享给其他同学。这点和你如何显得特别是密切相关的。学生需要详细的描述你的文化经历和你将会如何在校园里、集体中分享他们。<br/><br/>写大学个人申请不是拍电影而是拍广告。招生官阅读一篇个人申请所花的时间大概和看一个耐克公司的广告一样长。大家喜欢看耐克公司的广告，究其原因不是因为他们花数年的时间来找到最好的素材，而是因为耐克广告里有大量的近镜头特写和运动员流的汗――这就意味着这个广告，也就是你的文书，信息要足够集中，你所传达的观点要足够鲜明。所以我们要做的，是让招生官能听到，看见，触摸，品尝甚至闻到你所代表的世界―― 不是整个的世界，而是其中的一个小角落。让一个时刻表达一个更高的意义。就像诗人所说的，用一粒沙代表一个世界”。
Student/CCO,推荐信在申请过程中的意义和重要性,"推荐信重要吗？
推荐信多重要？
推荐信在申请中占的比重大吗？
推荐信在申请中重要吗？",虽然不是所有的美国大学都要求提交推荐信，但是对于要求提交推荐信的大学，推荐人的评价在大学评估申请者的过程中是非常重要的参考因素。推荐人对申请人的学术能力、个性特点、学术兴趣的评价对于帮助大学全面了解申请者有非常重要的参考价值，越是录取难度大的学校，推荐信的作用就愈加重要。
Student/CCO,怎么寻找适合写推荐信的老师,"怎么找推荐信老师？
推荐信老师如何选？
找推荐人的原则？",寻找推荐人的原则：1. 跟学生接触时间长，对学生非常了解 2. 在某门学科有非常突出的表现，学术成绩优良或在学习的过程中取得过重大进步 3. 与自己将来想申请的专业方向相关4. 最好是文科理科兼具 5. 跟自己的Counselor 讨论，最终确定人选
Student/CCO,成绩单可以改吗,"成绩单是不是可以更改？
成绩单能修改吗？",不可以，且没有商量和谈判的余地。<br/><br/>首先，梅沙书院的成绩单代表了梅沙书院作为一个向全世界输送优质学生的学校，需要对自己的学生品质负责。<br/>其次，修改成绩单违背了一些最基本的原则：公平和诚信。如果信息可以隐瞒，那么可以被隐瞒的就不应该只是那些看上去不好的信息，好的信息也应当一起被隐瞒。<br/><br/>对梅沙书院来说，公平和诚信是立命之本。我们建立了严苛的学术标准，建立了良好了社会和国际声誉，成绩单的分量就会越重，这带来的最直接的益处就是：学校知道了VMA的可靠，也就更愿意相信梅沙书院的学生。这就给了咱们学校的学生一些竞争优势，这积累下来的口碑可以让我们的学生带着更有公信力的成绩――甚至可能是更容易地――进入知名学校。
Student/CCO,成绩单上有什么信息,成绩单上都会有什么信息？,成绩单上会有该学生修过的所有课程，课程等级难度，以及这些课程的最终分数。分数以学期为单位，呈现在成绩单上；<br/>成绩单上也会按照学期到学年的顺序，汇总展示三年的成绩；<br/>成绩单上会有两个分数，加权成绩和未加权成绩。<br/>成绩单上会解释各个成绩等级所对应的具体分数；如A+对应4.3，A对应4，A-对应3.7
Student/CCO,成绩单申请,"如何申请梅沙书院的成绩单？
梅沙书院成绩单申请政策？",只有学生本人或者学生的法定监护人可以申请开具该生的成绩单。学生的信息和成绩记录不允许进行任何省略和更改。为保障万科梅沙书院成绩单的诚信度和对所有学生的公平性，学校各部门都会严格执行这项政策。<br/><br/>为了使成绩单的申请更加便捷，即日起学生可以直接在我校的即时通讯系统“钉钉”上申请成绩单。成绩单包括如下种类：官方成绩单、转学/夏校成绩单、签证成绩单、非官方成绩单、当前学期期中报告。其中，只有非官方成绩单和签证成绩单可以交给学生或学生的法定监护人，其它种类的成绩单都是由升学咨询直接发送给大学、或其他高中。<br/><br/>请注意：成绩单的开具需要5个工作日。周末、寒暑假及学校节假日均无法受理成绩单申请。请同学们一定计算好申请截止日期提前申请成绩单。如果需要邮寄成绩单，请额外预留3个工作日的邮寄时间。<br/><br/>成绩单的申请只需三步：<br/>1、 学生打开钉钉的“审批”功能<br/>2、 找到“学生成绩单申请”<br/>3、填好并且提交给自己的升学咨询老师，即完成了成绩单申请<br/><br/>如果需要邮寄成绩单，请联系自己的升学咨询老师交快递费。目前DHL快递定价为北美地区197元，澳大利亚是182，欧洲地区208，日本116元。一般可在3个工作日之内寄到。<br/><br/><br/>如有任何问题请至511升学咨询办公室咨询。
Student/CCO,需要初中成绩单吗？,"申请的时候要提交初中的成绩单吗？
要多少份？
开初中成绩单是否有流程？
初中成绩单有什么要求？",申请时学生需要提供初三（九年级）成绩单。以下为开具过往成绩单的要求：<br/>1. 成绩单上须显示学生的姓名、出生日期、在原学校的在读时间（何年何月至何年何月）。<br/>2. 成绩单上须至少显示学生9年级上、下两学期的在校成绩（非中考分数）。<br/>3. 成绩单的备注中须注明所学科目的满分分数。<br/>4. 成绩单抬头处须显示学校全称，落款处须显示原学校的学校全称、地址、电话及成绩单打印日期。并加盖原学校的公章或教务章。<br/>5. 成绩单上所有信息须以中英文显示。如原学校无法提供中英文成绩单，请发电子邮件至升学咨询老师邮箱寻求帮助。<br/>6. 须至少开出两份（建议五到十份）成绩单。将成绩单封在原学校的官方信封中，并在信封两端封口处盖章。如原学校无官方信封，则使用普通信封也可。
Student/CCO,升学咨询办公室职能,"升学咨询办公室的主要职能是什么？
升学咨询有什么用？
升学咨询办公室作用？",升学咨询办公室的主要职能是帮助学生在升学和申请的道路上助一臂之力的非学术部门。它的职能有专业的一面，但也有综合的一面，总的说来，升学咨询办公室的职能主要包括<br/><br/>1. 跟学生建立紧密的联系，了解学生的总体学习状况、学术优劣势、活动表现等等；这样做的目的是为了能够在学生需要的时候，根据他们的具体情况，给出大体方向上的建议――应该选择什么样的课程、什么样的活动――以保证在最后一役时，学生的申请能体现出内在的逻辑一致，增加录取几率；<br/><br/>2. 跟家长保持联络，让家长多了解跟升学相关的、来源可靠的、专业准确的信息，从家长这方面，引导他们为申请做好准备。家长时常为孩子升学的焦虑所困扰，且容易互相传播焦虑情绪和不一定准确的信息，当这种情况出现，家长们会有成倍的焦虑，而且会把这种心理状态传递给孩子，增加孩子的心理负担。升学咨询办公室有专业且经验丰富的升学咨询老师，是为家长们答疑解惑、缓解焦虑的地方。<br/><br/>3. 基于对学生具体情况的掌握，在申请时写出对申请有积极影响的推荐信。<br/><br/>4. 在申请前期，培训学科组老师撰写推荐信。<br/><br/>5. 从高一开始，通过“升学咨询课”，辅导学生了解跟升学相关的重要信息，培养学生自我认知的意识、反思生活经验的习惯、搜索与专业、学校和职业相关的信息的能力。同时，课程还会涵盖申请过程中申请平台的填写和使用、如何撰写文书，以及面试培训等等的内容。通过长期的信息层面和能力层面的覆盖，帮助学生在高中前两年就开始积累关键信息，供申请时使用。从这方面来说，升学咨询办公室的参与贯穿了申请前、中、后的各个阶段，因此家长也不必要再从校外寻找第三方机构包办申请。<br/><br/>6. 跟外教联合运作“写作中心”，帮助学生提升文书的语言质量，保证申请文书中试图表达的信息能够跨越文化障碍，被充分传递。<br/><br/>7. 跟世界各地的大学保持联系，参加跟招生和升学相关的会议、接待来访的招生官，以及承办跟招生和升学相关的活动。通过这一系列的活动以及跟招生官的互动，升学咨询办公室可以获得许多有价值的新信息，如招生倾向或新趋势等――而这些信息往往还没有被发布出来。<br/><br/>8. 筛选市面上有价值的、含金量高的活动，推荐给有需要的学生参加，帮助这些学生更好地开发和证明自己的潜能，增加自己被名校青睐的几率。<br/><br/>9. 申请时为学生邮寄官方成绩单。<br/>10. 组织跟升学和申请相关的家长讲座或论坛，集中答疑。<br/><br/>11. 针对学生和家长的疑惑和认知盲区，定期举办有关标准化考试（托福和SAT）的知识讲座，尽量让大家在准备考试或选择机构时少走弯路，把钱用在刀刃上，提高备考效率。
Student/CCO,梅沙书院的升学咨询办公室有什么不同之处,"梅沙书院的升学咨询办公室跟其它学校比有什么不同之处？
梅沙书院升学咨询的特别之处？",梅沙书院有全球规模最大的升学咨询办公室之一，一共有16人。在绝大多数学校，升学咨询和学生的配比会超过1:100，但梅沙书院的升学咨询办公室会把申请年级这个比例控制在1:20。而构建起这么大的升学咨询办公室，自然有更深层的原因。<br/><br/>实施学生为本的理念。梅沙书院试图通过打造一个高标准，有经验且专业的升学咨询团队，为刷新行业标准尽一份力。身为教育者的梅沙团队，深深知道师生配比太不均衡会给学生升学造成什么影响。学生需要关注，而只有一个有足够多人的升学咨询办公室，才能够做到关注每一个学生。<br/>对教育理想的践行。教育是一个缓慢优雅的过程，不是一蹴而就的短跑比赛，更不是不顾后果的揠苗助长。如果准备不踏实，过程不丰满，那些被亏欠的部分总会以这样或那样的形式在学生今后的学习和生活中找上门来。我们关注的是过程，对于结果的态度是期待与等待，因为我们相信，如果过程走得踏实，好的结果只是必然。造访过许多学校，也了解过许多申请机构，常出现的情况是当事人以申请到某个学校为目标，从而指导过程，这样的理念和行事哲学往往会忽略学生的热情和兴趣，伤害甚至抹杀学生作为“人”的需求。梅沙书院并不粗暴干涉学生的发展，相反，我们愿意用陪伴的心态去跟学生一同健康成长，引导学生发现兴趣、获得进步的内驱动力，从而引导学生做出最适合自己的选择。
